Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C2, C3, C4, C5, C69, C72, C76, C77, C80, C84, C85",C0805,13,10µF ±10%,C15850
"C10, C12, C14, C15, C16, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C36, C38, C40, C42, C44, C46, C48, C50, C52, C53, C55, C56, C58, C6, C60, C64, C65, C66, C67, C68, C7, C73, C74, C75, C8, C81, C82, C83, C86, C87, C88, C89, C9, C90",C0402,55,100nF ±10%,C1525
"C13, C70, C71, C78, C79",C0603,5,1µF ±10%,C15849
"C17, C18, C35, C37, C39, C43, C45, C47, C57, C59",C0402,10,33pF ±5%,C70465
"C41, C49, C61",C0402,3,33pF ±5%,
C51,C0402,1,1nF ±10%,C1523
C54,C0402,1,4.7nF ±10%,C1538
"C62, C63",C0402,2,10nF ±10%,C15195
"C91, C92, C93, C94",C1812,4,4.7nF ±10%,C309511
"D1, D2, D3, D4, D5, D6, D8",EMT6_L1.6-W1.2-P0.50-LS1.6-BL,7,,C510333
D7,D_SOD-123,1,,C81598
"FB1, FB2, FB3, FB4, FB5",L0603,5,,C76815
J1,DSUB-TH_DS1037-15FNAKT74-0CC,1,,C77836
"J10, J9",Header_1x4_P2.54mm,2,,
"J11, J12",RJ45-TH_HR911130A,2,,C54408
J2,USB-C_SMD-TYPE-C-31-M-12_1,1,,C165948
J3,Header_1x6_P2.54mm,1,,
J4,BoxHeader_2x5_P2.54mm,1,,
J5,BoxHeader_2x4_P2.54mm,1,,
J6,CONN-SMD_8P-P1.25_YTC-A1251-08ABW,1,,C7436577
J7,Header_2x15_P2.54mm,1,,
J8,PLR135_T10,1,,
LED1,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,1,,C965555
"PG1, PG2, PG3, PG4",PogoPin_D1.0mm,4,,
"R1, R2",R0402,2,5.1kΩ ±1%,C25905
"R10, R11, R13, R15, R17, R21, R22, R25, R27, R28, R39, R44, R45, R46, R47, R6, R8",R0402,17,220Ω ±1%,C25091
"R12, R14, R16, R18, R24, R26, R5, R7, R9",R0402,9,75Ω ±1%,C25133
"R19, R20, R23, R40, R41, R42, R43",R0402,7,1.5kΩ ±1%,C25867
"R29, R30, R31, R32",R0402,4,2.2kΩ ±1%,C25879
R3,R0402,1,12kΩ ±1%,C25752
"R33, R34, R35, R36, R37, R38, R4",R0402,7,10kΩ ±1%,C25744
"TP1, TP2",TestPoint_TH1,2,,
U1,HTQFP-100_L14.0-W14.0-P0.50-LS16.0-BL-EP6.2,1,,C3824085
U10,SO-DIMM-SMD_200P-P0.60_1473005-4,1,,C428482
"U11, U12, U13, U2, U9",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,5,,C10429
"U14, U15",TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,2,,C55513
"U16, U17",SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,2,,C46840
"U3, U4",SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,2,,C92517
U5,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,,C59969
U6,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,1,,C2862411
U7,LQFP-64_L10.0-W10.0-P0.50-LS12.0-TL,1,,C27882
U8,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,,C6164
X1,OSC-SMD_4P-L3.2-W2.5-BL,1,,C725995
X2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,,C9002
X3,OSC-SMD_4P-L3.2-W2.5-BL,1,,C20617595
