Designator,Mid X,Mid Y,Rotation,Layer
C1,108.75,-118.75,90.0,top
C10,102.62,-146.0,180.0,top
C11,137.67,-77.0,180.0,bottom
C12,139.75,-70.75,270.0,bottom
C13,138.0,-71.75,180.0,bottom
C14,135.0,-72.5,0.0,bottom
C15,135.0,-73.75,0.0,bottom
C16,137.67,-79.75,180.0,bottom
C17,144.6,-66.5,0.0,top
C18,144.6,-65.5,0.0,top
C19,143.5,-86.6,0.0,top
C2,100.75,-115.25,90.0,top
C20,152.5,-73.25,0.0,top
C21,136.5,-86.5,270.0,top
C22,144.02,-85.6,0.0,top
C23,151.75,-81.75,270.0,top
C24,152.5,-74.75,0.0,top
C25,125.0,-70.5,0.0,top
C26,131.5,-74.0,0.0,bottom
C27,125.0,-66.5,0.0,top
C28,137.5,-65.75,90.0,bottom
C29,125.0,-74.45,0.0,top
C3,127.0,-78.0,0.0,bottom
C30,131.5,-77.75,0.0,bottom
C31,125.0,-65.5,0.0,top
C32,138.5,-65.75,90.0,bottom
C33,125.0,-72.5,0.0,top
C34,131.5,-75.25,0.0,bottom
C35,125.0,-68.5,0.0,top
C36,135.0,-68.5,0.0,bottom
C37,125.0,-76.5,0.0,top
C38,131.5,-78.5,0.0,bottom
C39,125.07,-63.5,0.0,top
C4,136.25,-57.5,180.0,top
C40,136.5,-65.75,90.0,bottom
C41,123.8,-81.0,90.0,top
C42,112.5,-51.92,270.0,top
C43,115.08,-54.75,180.0,top
C44,142.897,-64.5,180.0,top
C45,142.389,-66.024,90.0,top
C46,147.595,-58.685,180.0,top
C47,125.0,-66.5,180.0,bottom
C48,132.0,-71.17,270.0,bottom
C49,125.0,-70.5,180.0,bottom
C5,144.2,-87.95,0.0,top
C50,137.67,-75.5,180.0,bottom
C51,125.0,-65.5,180.0,bottom
C52,137.17,-70.25,180.0,bottom
C53,137.67,-78.75,180.0,bottom
C54,139.5,-65.75,90.0,bottom
C55,100.0,-102.75,0.0,bottom
C56,100.0,-106.75,0.0,bottom
C57,100.0,-110.75,0.0,bottom
C58,185.33,-132.0,180.0,top
C59,131.0,-140.0,90.0,top
C6,114.0,-141.4,270.0,top
C60,123.75,-88.5,0.0,bottom
C61,113.5,-91.0,0.0,top
C62,113.5,-92.75,0.0,top
C63,127.0,-92.0,0.0,top
C64,123.8,-92.0,270.0,top
C65,123.8,-90.0,270.0,top
C66,123.8,-88.02,90.0,top
C67,127.0,-90.0,0.0,top
C68,127.0,-88.0,0.0,top
C69,113.5,-83.0,0.0,top
C7,116.0,-142.4,270.0,top
C70,113.5,-84.75,0.0,top
C71,127.0,-84.5,0.0,top
C72,123.75,-85.0,270.0,top
C73,123.75,-82.92,270.0,top
C74,115.08,-59.25,180.0,top
C75,127.0,-82.5,0.0,top
C76,127.0,-80.5,0.0,top
C77,97.75,-120.0,270.0,top
C78,153.25,-69.0,90.0,top
C79,153.25,-62.0,90.0,top
C8,107.2,-145.6,270.0,top
C80,166.8,-64.25,180.0,top
C81,170.0,-89.0,270.0,bottom
C82,173.0,-89.0,270.0,bottom
C83,160.0,-86.0,0.0,bottom
C84,160.0,-69.5,0.0,bottom
C85,160.0,-61.0,0.0,bottom
C9,102.6,-140.2,0.0,top
D1,100.425,-79.925,0.0,top
D2,105.25,-62.25,90.0,bottom
D3,110.4,-54.7,90.0,bottom
