Quantity,Manufacturer Part Number,Manufacturer,Customer Reference,Description
78,CL21A106KAYNNNE,SAMSUNG,"C1, C2, C3, C4, C5, C7, C60, C63, C67, C68, C71, C75, C76",10uF 0805 X5R MLCC
282,CL05B104KO5NNNC,SAMSUNG,"C6, C8, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C27, C29, C31, C33, C35, C37, C39, C41, C43, C44, C46, C47, C49, C51, C55, C56, C57, C58, C59, C64, C65, C66, C72, C73, C74, C77, C78, C79, C80, C81",100nF 0402 X7R 16V MLCC
20,CL05C220JB5NNNC,SAMSUNG,"C9, C10",22pF 0402 C0G 50V MLCC
50,CL05C330JB5NNNC,SAMSUNG,"C26, C28, C30, C34, C36, C38, C48, C50",33pF 0402 C0G 50V MLCC
15,CL05B102KB5NNNC,Samsung Electro-Mechanics,C42,1nF 0402 X7R 50V MLCC
15,CL05B472KB5NNNC,Samsung Electro-Mechanics,C45,4.7nF 0402 X7R 50V MLCC
20,CL05B103KB5NNNC,SAMSUNG,"C53, C54",10nF 0402 X7R 50V MLCC
30,CL10A105KB8NNNC,SAMSUNG,"C61, C62, C69, C70",1uF 0603 X5R MLCC
37,EMZT6.8ET2R,ROHM,"D1, D2, D3, D4, D5, D6, D8",ROHM 4ch コモンアノード ESD アレイ EMD5(SC-75A)
7,1N4148W-7-F,Diodes Incorporated,D7,汎用スイッチングダイオード SOD-123
7,USBLC6-2SC6,STMICROELECTRONICS,D9,USB 2ライン ESD 保護アレイ SOT-23-6
17,MPZ1608S221ATA00,TDK,"FB1, FB2, FB3",フェライトビーズ 220R@100MHz 0603
20,RC0402FR-075K1L,YAGEO,"R1, R2",5.1k 0402 1% 1/16W
45,RC0402FR-0710KL,YAGEO,"R3, R32, R33, R34, R35, R36, R37",10k 0402 1% 1/16W
55,RC0402FR-0775RL,YAGEO,"R4, R6, R8, R11, R13, R15, R17, R23, R25",75R 0402 1% 1/16W
102,RC0402FR-07220RL,YAGEO,"R5, R7, R9, R10, R12, R14, R16, R20, R21, R24, R26, R27, R38, R43, R44, R45, R46",220R 0402 1% 1/16W
45,RC0402FR-071K5L,YAGEO,"R18, R19, R22, R39, R40, R41, R42",1.5k 0402 1% 1/16W
30,RC0402FR-072K2L,YAGEO,"R28, R29, R30, R31",2.2k 0402 1% 1/16W
5,TVP7002PZP,TI,U1,ビデオデジタイザ HTQFP-100
27,SN74LVC2G17DBVR,TI,"U2, U8, U10, U11, U12",デュアルシュミットバッファ SOT-23-6
12,AZ1117H-3.3TRE1,DIODES,"U3, U4",3.3V LDO SOT-223
7,TLV75718PDBVR,Texas Instruments,U5,1.8V LDO SOT-23-5
7,TLV70019DDCR,TI,U6,1.9V 200mA LDO SOT-23-5
5,1473005-4,TE Connectivity,U9,DDR3 SO-DIMM 204pin ソケット
11,PCM1808PWR,TI,"U13, U14",ステレオ ADC TSSOP-14
11,24AA025E48-I/SN,MICROCHIP,"U15, U16",2kbit EEPROM + EUI-48 MAC SOIC-8
5,PLR135/T10,Everlight Electronics,J8,S/PDIF 光受信モジュール
