Quantity,LCSC Part Number,Manufacturer Part Number,Designator,Description
10,C309511,CC1812KKX7RDBB472,"C82, C83, C84, C85",4.7nF 2kV X7R 1812(RJ45 シャーシ-論理GND ブリッジ)
2,C77836,DS1037-15FNAKT76-0CC,J1,D-SUB 15pin(DA-15 2列)メス スルーホール
4,C165948,TYPE-C-31-M-12,J2,USB Type-C レセプタクル 16pin SMD
4,C7436577,YTC-A1251-08ABW,J6,1.25mm ピッチ 8pin SMD コネクタ
6,C54408,HR911130A,"J11, J12",RJ45 パルストランス内蔵 10/100/1000 スルーホール
4,C5349955,XL-2020RGBC-2812B,LED1,"フルカラーLED 2020(WS2812B互換, 制御IC内蔵)"
4,C18221627,CH347F,U7,USB-HS → JTAG+UART ブリッジ QFN-28
4,C725995,OT322527MJBA4SL,X1,27MHz アクティブ発振器 3.2x2.5mm 4pad 3.3V CMOS
4,C2682774,X32258MSB4SI,X2,8MHz 水晶 3.2x2.5mm 4pad CL=20pF
4,C20617595,OT2JI-111-12.288M,X3,12.288MHz アクティブ発振器 3.2x2.5mm 4pad 3.3V CMOS
2,,Colorlight i5 (ECP5),(module),SO-DIMM FPGA モジュール本体。AliExpress 等
